tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,genre1,genre2,genre3,url,averageRating,numVotes
tt0010323,movie,The Cabinet of Dr. Caligari,Das Cabinet des Dr. Caligari,0,1920,,76,"Fantasy,Horror,Mystery",Fantasy,Horror,Mystery,https://www.imdb.com/title/tt0010323,8.1,57097
tt0012349,movie,The Kid,The Kid,0,1921,,68,"Comedy,Drama,Family",Comedy,Drama,Family,https://www.imdb.com/title/tt0012349,8.3,112377
tt0013442,movie,Nosferatu,"Nosferatu, eine Symphonie des Grauens",0,1922,,94,"Fantasy,Horror",Fantasy,Horror,,https://www.imdb.com/title/tt0013442,7.9,88440
tt0015324,movie,Sherlock Jr.,Sherlock Jr.,0,1924,,45,"Action,Comedy,Romance",Action,Comedy,Romance,https://www.imdb.com/title/tt0015324,8.2,41511
tt0015648,movie,Battleship Potemkin,Bronenosets Potemkin,0,1925,,75,"Drama,History,Thriller",Drama,History,Thriller,https://www.imdb.com/title/tt0015648,8.0,52800
tt0015864,movie,The Gold Rush,The Gold Rush,0,1925,,95,"Adventure,Comedy,Drama",Adventure,Comedy,Drama,https://www.imdb.com/title/tt0015864,8.2,100312
tt0017136,movie,Metropolis,Metropolis,0,1927,,153,"Drama,Sci-Fi",Drama,Sci-Fi,,https://www.imdb.com/title/tt0017136,8.3,159189
tt0017925,movie,The General,The General,0,1926,,67,"Action,Adventure,Comedy",Action,Adventure,Comedy,https://www.imdb.com/title/tt0017925,8.1,80619
tt0018455,movie,Sunrise,Sunrise: A Song of Two Humans,0,1927,,94,"Drama,Romance",Drama,Romance,,https://www.imdb.com/title/tt0018455,8.1,46716
tt0018773,movie,The Circus,The Circus,0,1928,,72,"Comedy,Romance",Comedy,Romance,,https://www.imdb.com/title/tt0018773,8.1,29905
tt0019254,movie,The Passion of Joan of Arc,La passion de Jeanne d'Arc,0,1928,,110,"Biography,Drama,History",Biography,Drama,History,https://www.imdb.com/title/tt0019254,8.1,47242
tt0020629,movie,All Quiet on the Western Front,All Quiet on the Western Front,0,1930,,152,"Drama,War",Drama,War,,https://www.imdb.com/title/tt0020629,8.0,57111
tt0021749,movie,City Lights,City Lights,0,1931,,87,"Comedy,Drama,Romance",Comedy,Drama,Romance,https://www.imdb.com/title/tt0021749,8.5,166732
tt0021814,movie,Dracula,Dracula,0,1931,,75,"Drama,Fantasy,Horror",Drama,Fantasy,Horror,https://www.imdb.com/title/tt0021814,7.5,46533
tt0021884,movie,Frankenstein,Frankenstein,0,1931,,70,"Drama,Horror,Sci-Fi",Drama,Horror,Sci-Fi,https://www.imdb.com/title/tt0021884,7.8,64988
tt0022100,movie,M,M - Eine Stadt sucht einen Mörder,0,1931,,117,"Crime,Mystery,Thriller",Crime,Mystery,Thriller,https://www.imdb.com/title/tt0022100,8.3,142596
tt0022913,movie,Freaks,Freaks,0,1932,,64,"Drama,Horror",Drama,Horror,,https://www.imdb.com/title/tt0022913,7.9,41962
tt0023427,movie,Scarface,Scarface: The Shame of the Nation,0,1932,,93,"Action,Crime,Drama",Action,Crime,Drama,https://www.imdb.com/title/tt0023427,7.8,25179
tt0023969,movie,Duck Soup,Duck Soup,0,1933,,69,"Comedy,Musical,War",Comedy,Musical,War,https://www.imdb.com/title/tt0023969,7.8,55438
tt0024184,movie,The Invisible Man,The Invisible Man,0,1933,,71,"Horror,Sci-Fi",Horror,Sci-Fi,,https://www.imdb.com/title/tt0024184,7.7,30401
tt0024216,movie,King Kong,King Kong,0,1933,,100,"Adventure,Horror,Sci-Fi",Adventure,Horror,Sci-Fi,https://www.imdb.com/title/tt0024216,7.9,78605
tt0025316,movie,It Happened One Night,It Happened One Night,0,1934,,105,"Comedy,Romance",Comedy,Romance,,https://www.imdb.com/title/tt0025316,8.1,93430
tt0025878,movie,The Thin Man,The Thin Man,0,1934,,91,"Comedy,Crime,Mystery",Comedy,Crime,Mystery,https://www.imdb.com/title/tt0025878,8.0,26402
tt0026029,movie,The 39 Steps,The 39 Steps,0,1935,,86,"Crime,Mystery,Thriller",Crime,Mystery,Thriller,https://www.imdb.com/title/tt0026029,7.6,51584
tt0026138,movie,The Bride of Frankenstein,Bride of Frankenstein,0,1935,,75,"Drama,Horror,Sci-Fi",Drama,Horror,Sci-Fi,https://www.imdb.com/title/tt0026138,7.8,43314
tt0026778,movie,A Night at the Opera,A Night at the Opera,0,1935,,96,"Comedy,Music,Musical",Comedy,Music,Musical,https://www.imdb.com/title/tt0026778,7.9,30462
tt0027977,movie,Modern Times,Modern Times,0,1936,,87,"Comedy,Drama,Family",Comedy,Drama,Family,https://www.imdb.com/title/tt0027977,8.5,216426
tt0028950,movie,The Grand Illusion,La grande illusion,0,1937,,113,"Drama,War",Drama,War,,https://www.imdb.com/title/tt0028950,8.1,33696
tt0029583,movie,Snow White and the Seven Dwarfs,Snow White and the Seven Dwarfs,0,1937,,83,"Animation,Family,Fantasy",Animation,Family,Fantasy,https://www.imdb.com/title/tt0029583,7.6,180719
tt0029843,movie,The Adventures of Robin Hood,The Adventures of Robin Hood,0,1938,,102,"Action,Adventure,Romance",Action,Adventure,Romance,https://www.imdb.com/title/tt0029843,7.9,46996
tt0029947,movie,Bringing Up Baby,Bringing Up Baby,0,1938,,102,"Comedy,Family,Romance",Comedy,Family,Romance,https://www.imdb.com/title/tt0029947,7.9,54860
tt0030341,movie,The Lady Vanishes,The Lady Vanishes,0,1938,,96,"Mystery,Thriller",Mystery,Thriller,,https://www.imdb.com/title/tt0030341,7.8,47140
tt0031381,movie,Gone with the Wind,Gone with the Wind,0,1939,,238,"Drama,History,Romance",Drama,History,Romance,https://www.imdb.com/title/tt0031381,8.1,288671
tt0031679,movie,Mr. Smith Goes to Washington,Mr. Smith Goes to Washington,0,1939,,129,"Comedy,Drama",Comedy,Drama,,https://www.imdb.com/title/tt0031679,8.1,106464
tt0031885,movie,The Rules of the Game,La règle du jeu,0,1939,,110,"Comedy,Drama",Comedy,Drama,,https://www.imdb.com/title/tt0031885,8.0,26586
tt0031971,movie,Stagecoach,Stagecoach,0,1939,,96,"Adventure,Drama,Western",Adventure,Drama,Western,https://www.imdb.com/title/tt0031971,7.8,43342
tt0032138,movie,The Wizard of Oz,The Wizard of Oz,0,1939,,102,"Adventure,Family,Fantasy",Adventure,Family,Fantasy,https://www.imdb.com/title/tt0032138,8.0,370454
tt0032455,movie,Fantasia,Fantasia,0,1940,,125,"Animation,Family,Fantasy",Animation,Family,Fantasy,https://www.imdb.com/title/tt0032455,7.7,88234
tt0032551,movie,The Grapes of Wrath,The Grapes of Wrath,0,1940,,129,"Drama,History",Drama,History,,https://www.imdb.com/title/tt0032551,8.0,85379
tt0032553,movie,The Great Dictator,The Great Dictator,0,1940,,125,"Comedy,Drama,War",Comedy,Drama,War,https://www.imdb.com/title/tt0032553,8.4,201944
tt0032599,movie,His Girl Friday,His Girl Friday,0,1940,,92,"Comedy,Drama,Romance",Comedy,Drama,Romance,https://www.imdb.com/title/tt0032599,7.9,53339
tt0032904,movie,The Philadelphia Story,The Philadelphia Story,0,1940,,112,"Comedy,Romance",Comedy,Romance,,https://www.imdb.com/title/tt0032904,7.9,63182
tt0032910,movie,Pinocchio,Pinocchio,0,1940,,88,"Animation,Comedy,Family",Animation,Comedy,Family,https://www.imdb.com/title/tt0032910,7.4,130616
tt0032976,movie,Rebecca,Rebecca,0,1940,,130,"Drama,Mystery,Romance",Drama,Mystery,Romance,https://www.imdb.com/title/tt0032976,8.1,123244
tt0033045,movie,The Shop Around the Corner,The Shop Around the Corner,0,1940,,99,"Comedy,Drama,Romance",Comedy,Drama,Romance,https://www.imdb.com/title/tt0033045,8.1,28181
tt0033467,movie,Citizen Kane,Citizen Kane,0,1941,,119,"Drama,Mystery",Drama,Mystery,,https://www.imdb.com/title/tt0033467,8.3,400653
tt0033563,movie,Dumbo,Dumbo,0,1941,,64,"Animation,Drama,Family",Animation,Drama,Family,https://www.imdb.com/title/tt0033563,7.2,119185
tt0033870,movie,The Maltese Falcon,The Maltese Falcon,0,1941,,100,"Film-Noir,Mystery",Film-Noir,Mystery,,https://www.imdb.com/title/tt0033870,8.0,148355
tt0034248,movie,Suspicion,Suspicion,0,1941,,99,"Film-Noir,Mystery,Thriller",Film-Noir,Mystery,Thriller,https://www.imdb.com/title/tt0034248,7.4,32601
tt0034492,movie,Bambi,Bambi,0,1942,,70,"Animation,Drama,Family",Animation,Drama,Family,https://www.imdb.com/title/tt0034492,7.3,130711
tt0034583,movie,Casablanca,Casablanca,0,1942,,102,"Drama,Romance,War",Drama,Romance,War,https://www.imdb.com/title/tt0034583,8.5,519384
tt0035423,movie,Kate & Leopold,Kate & Leopold,0,2001,,118,"Comedy,Fantasy,Romance",Comedy,Fantasy,Romance,https://www.imdb.com/title/tt0035423,6.4,78746
tt0035446,movie,To Be or Not to Be,To Be or Not to Be,0,1942,,99,"Comedy,War",Comedy,War,,https://www.imdb.com/title/tt0035446,8.2,29422
tt0036342,movie,Shadow of a Doubt,Shadow of a Doubt,0,1943,,108,"Film-Noir,Thriller",Film-Noir,Thriller,,https://www.imdb.com/title/tt0036342,7.8,59263
tt0036613,movie,Arsenic and Old Lace,Arsenic and Old Lace,0,1944,,118,"Comedy,Crime,Thriller",Comedy,Crime,Thriller,https://www.imdb.com/title/tt0036613,8.0,64881
tt0036775,movie,Double Indemnity,Double Indemnity,0,1944,,107,"Crime,Drama,Film-Noir",Crime,Drama,Film-Noir,https://www.imdb.com/title/tt0036775,8.3,142742
tt0036868,movie,The Best Years of Our Lives,The Best Years of Our Lives,0,1946,,170,"Drama,Romance,War",Drama,Romance,War,https://www.imdb.com/title/tt0036868,8.0,57093
tt0037008,movie,Laura,Laura,0,1944,,88,"Drama,Film-Noir,Mystery",Drama,Film-Noir,Mystery,https://www.imdb.com/title/tt0037008,8.0,42501
tt0037017,movie,Lifeboat,Lifeboat,0,1944,,97,"Drama,War",Drama,War,,https://www.imdb.com/title/tt0037017,7.6,26340
tt0037382,movie,To Have and Have Not,To Have and Have Not,0,1944,,100,"Adventure,Comedy,Film-Noir",Adventure,Comedy,Film-Noir,https://www.imdb.com/title/tt0037382,7.8,30892
tt0037558,movie,Brief Encounter,Brief Encounter,0,1945,,86,"Drama,Romance",Drama,Romance,,https://www.imdb.com/title/tt0037558,8.0,35417
tt0037884,movie,The Lost Weekend,The Lost Weekend,0,1945,,101,"Drama,Film-Noir",Drama,Film-Noir,,https://www.imdb.com/title/tt0037884,7.9,33391
tt0038109,movie,Spellbound,Spellbound,0,1945,,111,"Film-Noir,Mystery,Romance",Film-Noir,Mystery,Romance,https://www.imdb.com/title/tt0038109,7.6,43284
tt0038355,movie,The Big Sleep,The Big Sleep,0,1946,,114,"Crime,Film-Noir,Mystery",Crime,Film-Noir,Mystery,https://www.imdb.com/title/tt0038355,7.9,78529
tt0038559,movie,Gilda,Gilda,0,1946,,110,"Drama,Film-Noir,Romance",Drama,Film-Noir,Romance,https://www.imdb.com/title/tt0038559,7.7,27791
tt0038650,movie,It's a Wonderful Life,It's a Wonderful Life,0,1946,,130,"Drama,Family,Fantasy",Drama,Family,Fantasy,https://www.imdb.com/title/tt0038650,8.6,402576
tt0038787,movie,Notorious,Notorious,0,1946,,102,"Drama,Film-Noir,Romance",Drama,Film-Noir,Romance,https://www.imdb.com/title/tt0038787,7.9,91912
tt0039628,movie,Miracle on 34th Street,Miracle on 34th Street,0,1947,,96,"Comedy,Drama,Family",Comedy,Drama,Family,https://www.imdb.com/title/tt0039628,7.9,41367
tt0039689,movie,Out of the Past,Out of the Past,0,1947,,97,"Crime,Drama,Film-Noir",Crime,Drama,Film-Noir,https://www.imdb.com/title/tt0039689,8.0,32566
tt0040506,movie,Key Largo,Key Largo,0,1948,,100,"Action,Crime,Drama",Action,Crime,Drama,https://www.imdb.com/title/tt0040506,7.8,36863
tt0040522,movie,Bicycle Thieves,Ladri di biciclette,0,1948,,89,Drama,Drama,,,https://www.imdb.com/title/tt0040522,8.3,145413
tt0040525,movie,The Lady from Shanghai,The Lady from Shanghai,0,1947,,87,"Crime,Drama,Film-Noir",Crime,Drama,Film-Noir,https://www.imdb.com/title/tt0040525,7.6,26803
tt0040724,movie,Red River,Red River,0,1948,,133,"Action,Adventure,Drama",Action,Adventure,Drama,https://www.imdb.com/title/tt0040724,7.8,28016
tt0040725,movie,The Red Shoes,The Red Shoes,0,1948,,135,"Drama,Music,Romance",Drama,Music,Romance,https://www.imdb.com/title/tt0040725,8.1,30735
tt0040746,movie,Rope,Rope,0,1948,,80,"Crime,Drama,Mystery",Crime,Drama,Mystery,https://www.imdb.com/title/tt0040746,8.0,129077
tt0040897,movie,The Treasure of the Sierra Madre,The Treasure of the Sierra Madre,0,1948,,126,"Adventure,Drama,Western",Adventure,Drama,Western,https://www.imdb.com/title/tt0040897,8.2,113740
tt0041546,movie,Kind Hearts and Coronets,Kind Hearts and Coronets,0,1949,,106,"Comedy,Crime",Comedy,Crime,,https://www.imdb.com/title/tt0041546,8.0,34341
tt0041959,movie,The Third Man,The Third Man,0,1949,,104,"Film-Noir,Mystery,Thriller",Film-Noir,Mystery,Thriller,https://www.imdb.com/title/tt0041959,8.1,157957
tt0042041,movie,White Heat,White Heat,0,1949,,114,"Action,Crime,Drama",Action,Crime,Drama,https://www.imdb.com/title/tt0042041,8.1,29637
tt0042192,movie,All About Eve,All About Eve,0,1950,,138,Drama,Drama,,,https://www.imdb.com/title/tt0042192,8.2,120010
tt0042332,movie,Cinderella,Cinderella,0,1950,,74,"Animation,Family,Fantasy",Animation,Family,Fantasy,https://www.imdb.com/title/tt0042332,7.3,145123
tt0042546,movie,Harvey,Harvey,0,1950,,104,"Comedy,Drama,Fantasy",Comedy,Drama,Fantasy,https://www.imdb.com/title/tt0042546,7.9,52461
tt0042593,movie,In a Lonely Place,In a Lonely Place,0,1950,,94,"Drama,Film-Noir,Mystery",Drama,Film-Noir,Mystery,https://www.imdb.com/title/tt0042593,8.0,26517
tt0042876,movie,Rashomon,Rashômon,0,1950,,88,"Crime,Drama,Mystery",Crime,Drama,Mystery,https://www.imdb.com/title/tt0042876,8.2,151636
tt0043014,movie,Sunset Blvd.,Sunset Blvd.,0,1950,,110,"Drama,Film-Noir",Drama,Film-Noir,,https://www.imdb.com/title/tt0043014,8.4,200485
tt0043265,movie,The African Queen,The African Queen,0,1951,,105,"Adventure,Drama,Romance",Adventure,Drama,Romance,https://www.imdb.com/title/tt0043265,7.7,71198
tt0043274,movie,Alice in Wonderland,Alice in Wonderland,0,1951,,75,"Adventure,Animation,Family",Adventure,Animation,Family,https://www.imdb.com/title/tt0043274,7.4,128378
tt0043278,movie,An American in Paris,An American in Paris,0,1951,,114,"Drama,Musical,Romance",Drama,Musical,Romance,https://www.imdb.com/title/tt0043278,7.2,30411
tt0043338,movie,Ace in the Hole,Ace in the Hole,0,1951,,111,"Drama,Film-Noir",Drama,Film-Noir,,https://www.imdb.com/title/tt0043338,8.1,31396
tt0043456,movie,The Day the Earth Stood Still,The Day the Earth Stood Still,0,1951,,92,"Drama,Sci-Fi",Drama,Sci-Fi,,https://www.imdb.com/title/tt0043456,7.7,76142
tt0044079,movie,Strangers on a Train,Strangers on a Train,0,1951,,101,"Crime,Film-Noir,Thriller",Crime,Film-Noir,Thriller,https://www.imdb.com/title/tt0044079,7.9,122894
tt0044081,movie,A Streetcar Named Desire,A Streetcar Named Desire,0,1951,,122,Drama,Drama,,,https://www.imdb.com/title/tt0044081,8.0,98664
tt0044121,movie,The Thing from Another World,The Thing from Another World,0,1951,,87,"Horror,Sci-Fi",Horror,Sci-Fi,,https://www.imdb.com/title/tt0044121,7.1,25728
tt0044706,movie,High Noon,High Noon,0,1952,,85,"Drama,Thriller,Western",Drama,Thriller,Western,https://www.imdb.com/title/tt0044706,7.9,96868
tt0044741,movie,Ikiru,Ikiru,0,1952,,143,Drama,Drama,,,https://www.imdb.com/title/tt0044741,8.3,67855
tt0045061,movie,The Quiet Man,The Quiet Man,0,1952,,129,"Comedy,Drama,Romance",Comedy,Drama,Romance,https://www.imdb.com/title/tt0045061,7.7,34514
tt0045152,movie,Singin' in the Rain,Singin' in the Rain,0,1952,,103,"Comedy,Musical,Romance",Comedy,Musical,Romance,https://www.imdb.com/title/tt0045152,8.3,217673
tt0045793,movie,From Here to Eternity,From Here to Eternity,0,1953,,118,"Drama,Romance,War",Drama,Romance,War,https://www.imdb.com/title/tt0045793,7.6,43150
tt0045810,movie,Gentlemen Prefer Blondes,Gentlemen Prefer Blondes,0,1953,,91,"Comedy,Musical,Romance",Comedy,Musical,Romance,https://www.imdb.com/title/tt0045810,7.2,31564
tt0046183,movie,Peter Pan,Peter Pan,0,1953,,77,"Adventure,Animation,Family",Adventure,Animation,Family,https://www.imdb.com/title/tt0046183,7.3,125961
tt0046250,movie,Roman Holiday,Roman Holiday,0,1953,,118,"Comedy,Romance",Comedy,Romance,,https://www.imdb.com/title/tt0046250,8.0,126781
tt0046268,movie,The Wages of Fear,Le salaire de la peur,0,1953,,131,"Adventure,Drama,Thriller",Adventure,Drama,Thriller,https://www.imdb.com/title/tt0046268,8.1,54257
tt0046303,movie,Shane,Shane,0,1953,,118,"Drama,Western",Drama,Western,,https://www.imdb.com/title/tt0046303,7.6,36888
tt0046359,movie,Stalag 17,Stalag 17,0,1953,,120,"Comedy,Drama,War",Comedy,Drama,War,https://www.imdb.com/title/tt0046359,8.0,50896
tt0046438,movie,Tokyo Story,Tôkyô monogatari,0,1953,,136,Drama,Drama,,,https://www.imdb.com/title/tt0046438,8.2,52624
tt0046534,movie,The War of the Worlds,The War of the Worlds,0,1953,,85,"Action,Sci-Fi,Thriller",Action,Sci-Fi,Thriller,https://www.imdb.com/title/tt0046534,7.1,32589
tt0046672,movie,"20,000 Leagues Under the Sea","20,000 Leagues Under the Sea",0,1954,,127,"Adventure,Drama,Family",Adventure,Drama,Family,https://www.imdb.com/title/tt0046672,7.2,29256
tt0046876,movie,Creature from the Black Lagoon,Creature from the Black Lagoon,0,1954,,79,"Horror,Sci-Fi",Horror,Sci-Fi,,https://www.imdb.com/title/tt0046876,7.0,26642
tt0046911,movie,Diabolique,Les diaboliques,0,1955,,117,"Crime,Drama,Horror",Crime,Drama,Horror,https://www.imdb.com/title/tt0046911,8.0,61303
tt0046912,movie,Dial M for Murder,Dial M for Murder,0,1954,,105,"Crime,Thriller",Crime,Thriller,,https://www.imdb.com/title/tt0046912,8.2,157329
tt0047034,movie,Godzilla,Gojira,0,1954,,96,"Action,Horror,Sci-Fi",Action,Horror,Sci-Fi,https://www.imdb.com/title/tt0047034,7.6,28871
tt0047296,movie,On the Waterfront,On the Waterfront,0,1954,,108,"Crime,Drama,Thriller",Crime,Drama,Thriller,https://www.imdb.com/title/tt0047296,8.1,141348
tt0047396,movie,Rear Window,Rear Window,0,1954,,112,"Mystery,Thriller",Mystery,Thriller,,https://www.imdb.com/title/tt0047396,8.4,441715
tt0047437,movie,Sabrina,Sabrina,0,1954,,113,"Comedy,Drama,Romance",Comedy,Drama,Romance,https://www.imdb.com/title/tt0047437,7.7,59089
tt0047478,movie,Seven Samurai,Shichinin no samurai,0,1954,,207,"Action,Adventure,Drama",Action,Adventure,Drama,https://www.imdb.com/title/tt0047478,8.6,314083
tt0047528,movie,La Strada,La strada,0,1954,,108,Drama,Drama,,,https://www.imdb.com/title/tt0047528,8.0,58056
tt0047673,movie,White Christmas,White Christmas,0,1954,,120,"Comedy,Musical,Romance",Comedy,Musical,Romance,https://www.imdb.com/title/tt0047673,7.6,34259
tt0048021,movie,Rififi,Du rififi chez les hommes,0,1955,,118,"Crime,Drama,Thriller",Crime,Drama,Thriller,https://www.imdb.com/title/tt0048021,8.2,28377
tt0048028,movie,East of Eden,East of Eden,0,1955,,118,Drama,Drama,,,https://www.imdb.com/title/tt0048028,7.9,40066
tt0048280,movie,Lady and the Tramp,Lady and the Tramp,0,1955,,76,"Adventure,Animation,Comedy",Adventure,Animation,Comedy,https://www.imdb.com/title/tt0048280,7.3,122342
tt0048281,movie,The Ladykillers,The Ladykillers,0,1955,,91,"Comedy,Crime",Comedy,Crime,,https://www.imdb.com/title/tt0048281,7.7,26162
tt0048424,movie,The Night of the Hunter,The Night of the Hunter,0,1955,,92,"Crime,Drama,Film-Noir",Crime,Drama,Film-Noir,https://www.imdb.com/title/tt0048424,8.0,81520
tt0048545,movie,Rebel Without a Cause,Rebel Without a Cause,0,1955,,111,Drama,Drama,,,https://www.imdb.com/title/tt0048545,7.7,82938
tt0048605,movie,The Seven Year Itch,The Seven Year Itch,0,1955,,105,"Comedy,Romance",Comedy,Romance,,https://www.imdb.com/title/tt0048605,7.1,33985
tt0048728,movie,To Catch a Thief,To Catch a Thief,0,1955,,106,"Mystery,Romance,Thriller",Mystery,Romance,Thriller,https://www.imdb.com/title/tt0048728,7.4,64733
tt0048750,movie,The Trouble with Harry,The Trouble with Harry,0,1955,,99,"Comedy,Mystery",Comedy,Mystery,,https://www.imdb.com/title/tt0048750,7.1,33610
tt0049223,movie,Forbidden Planet,Forbidden Planet,0,1956,,98,"Action,Adventure,Sci-Fi",Action,Adventure,Sci-Fi,https://www.imdb.com/title/tt0049223,7.6,45069
tt0049261,movie,Giant,Giant,0,1956,,201,"Drama,Western",Drama,Western,,https://www.imdb.com/title/tt0049261,7.6,33937
tt0049366,movie,Invasion of the Body Snatchers,Invasion of the Body Snatchers,0,1956,,80,"Drama,Horror,Sci-Fi",Drama,Horror,Sci-Fi,https://www.imdb.com/title/tt0049366,7.7,44665
tt0049406,movie,The Killing,The Killing,0,1956,,84,"Crime,Drama,Film-Noir",Crime,Drama,Film-Noir,https://www.imdb.com/title/tt0049406,8.0,81312
tt0049470,movie,The Man Who Knew Too Much,The Man Who Knew Too Much,0,1956,,120,"Drama,Thriller",Drama,Thriller,,https://www.imdb.com/title/tt0049470,7.4,58193
tt0049730,movie,The Searchers,The Searchers,0,1956,,119,"Adventure,Drama,Western",Adventure,Drama,Western,https://www.imdb.com/title/tt0049730,7.9,79909
tt0049833,movie,The Ten Commandments,The Ten Commandments,0,1956,,220,"Adventure,Drama",Adventure,Drama,,https://www.imdb.com/title/tt0049833,7.9,63304
tt0050083,movie,12 Angry Men,12 Angry Men,0,1957,,96,"Crime,Drama",Crime,Drama,,https://www.imdb.com/title/tt0050083,9.0,685185
tt0050105,movie,An Affair to Remember,An Affair to Remember,0,1957,,115,"Drama,Musical,Romance",Drama,Musical,Romance,https://www.imdb.com/title/tt0050105,7.5,27577
tt0050212,movie,The Bridge on the River Kwai,The Bridge on the River Kwai,0,1957,,161,"Adventure,Drama,War",Adventure,Drama,War,https://www.imdb.com/title/tt0050212,8.1,202527
tt0050419,movie,Funny Face,Funny Face,0,1957,,103,"Comedy,Musical,Romance",Comedy,Musical,Romance,https://www.imdb.com/title/tt0050419,7.0,26992
tt0050613,movie,Throne of Blood,Kumonosu-jô,0,1957,,110,"Drama,History",Drama,History,,https://www.imdb.com/title/tt0050613,8.1,46315
tt0050783,movie,Nights of Cabiria,Le notti di Cabiria,0,1957,,110,Drama,Drama,,,https://www.imdb.com/title/tt0050783,8.1,42728
tt0050825,movie,Paths of Glory,Paths of Glory,0,1957,,88,"Drama,War",Drama,War,,https://www.imdb.com/title/tt0050825,8.4,176956
tt0050976,movie,The Seventh Seal,Det sjunde inseglet,0,1957,,96,"Drama,Fantasy,History",Drama,Fantasy,History,https://www.imdb.com/title/tt0050976,8.2,163632
tt0050986,movie,Wild Strawberries,Smultronstället,0,1957,,91,"Drama,Romance",Drama,Romance,,https://www.imdb.com/title/tt0050986,8.2,95520
tt0051036,movie,Sweet Smell of Success,Sweet Smell of Success,0,1957,,96,"Drama,Film-Noir",Drama,Film-Noir,,https://www.imdb.com/title/tt0051036,8.0,27951
tt0051201,movie,Witness for the Prosecution,Witness for the Prosecution,0,1957,,116,"Crime,Drama,Mystery",Crime,Drama,Mystery,https://www.imdb.com/title/tt0051201,8.4,108067
tt0051207,movie,The Wrong Man,The Wrong Man,0,1956,,105,"Drama,Film-Noir",Drama,Film-Noir,,https://www.imdb.com/title/tt0051207,7.4,25524
tt0051459,movie,Cat on a Hot Tin Roof,Cat on a Hot Tin Roof,0,1958,,108,Drama,Drama,,,https://www.imdb.com/title/tt0051459,8.0,44828
tt0051808,movie,The Hidden Fortress,Kakushi-toride no san-akunin,0,1958,,139,"Adventure,Drama",Adventure,Drama,,https://www.imdb.com/title/tt0051808,8.1,34442
tt0052077,movie,Plan 9 from Outer Space,Plan 9 from Outer Space,0,1957,,79,"Horror,Sci-Fi",Horror,Sci-Fi,,https://www.imdb.com/title/tt0052077,4.0,35912
tt0052311,movie,Touch of Evil,Touch of Evil,0,1958,,95,"Crime,Drama,Film-Noir",Crime,Drama,Film-Noir,https://www.imdb.com/title/tt0052311,8.0,98110
tt0052357,movie,Vertigo,Vertigo,0,1958,,128,"Mystery,Romance,Thriller",Mystery,Romance,Thriller,https://www.imdb.com/title/tt0052357,8.3,362271
tt0052520,tvSeries,The Twilight Zone,The Twilight Zone,0,1959,1964,51,"Drama,Fantasy,Horror",Drama,Fantasy,Horror,https://www.imdb.com/title/tt0052520,9.0,70530
tt0052561,movie,Anatomy of a Murder,Anatomy of a Murder,0,1959,,161,"Crime,Drama,Mystery",Crime,Drama,Mystery,https://www.imdb.com/title/tt0052561,8.0,59555
tt0052618,movie,Ben-Hur,Ben-Hur,0,1959,,212,"Adventure,Drama,History",Adventure,Drama,History,https://www.imdb.com/title/tt0052618,8.1,218479
tt0052893,movie,Hiroshima Mon Amour,Hiroshima mon amour,0,1959,,90,"Drama,Romance",Drama,Romance,,https://www.imdb.com/title/tt0052893,7.9,28192
tt0053125,movie,North by Northwest,North by Northwest,0,1959,,136,"Adventure,Mystery,Thriller",Adventure,Mystery,Thriller,https://www.imdb.com/title/tt0053125,8.3,297617
tt0053198,movie,The 400 Blows,Les quatre cents coups,0,1959,,99,"Crime,Drama",Crime,Drama,,https://www.imdb.com/title/tt0053198,8.1,104484
tt0053221,movie,Rio Bravo,Rio Bravo,0,1959,,141,"Action,Drama,Western",Action,Drama,Western,https://www.imdb.com/title/tt0053221,8.0,55978
tt0053285,movie,Sleeping Beauty,Sleeping Beauty,0,1959,,75,"Animation,Family,Fantasy",Animation,Family,Fantasy,https://www.imdb.com/title/tt0053285,7.2,134817
tt0053291,movie,Some Like It Hot,Some Like It Hot,0,1959,,121,"Comedy,Music,Romance",Comedy,Music,Romance,https://www.imdb.com/title/tt0053291,8.2,242678
tt0053459,movie,Eyes Without a Face,Les yeux sans visage,0,1960,,90,"Drama,Horror",Drama,Horror,,https://www.imdb.com/title/tt0053459,7.7,27405
tt0053472,movie,Breathless,À bout de souffle,0,1960,,90,"Crime,Drama",Crime,Drama,,https://www.imdb.com/title/tt0053472,7.8,72801
tt0053488,tvSeries,The Bugs Bunny Show,The Bugs Bunny Show,0,1960,1975,30,"Animation,Comedy",Animation,Comedy,,https://www.imdb.com/title/tt0053488,8.6,31051
tt0053502,tvSeries,The Flintstones,The Flintstones,0,1960,1966,26,"Adventure,Animation,Comedy",Adventure,Animation,Comedy,https://www.imdb.com/title/tt0053502,7.5,32703
tt0053604,movie,The Apartment,The Apartment,0,1960,,125,"Comedy,Drama,Romance",Comedy,Drama,Romance,https://www.imdb.com/title/tt0053604,8.3,163349
tt0053619,movie,L'Avventura,L'avventura,0,1960,,144,"Drama,Mystery",Drama,Mystery,,https://www.imdb.com/title/tt0053619,7.9,26366
tt0053779,movie,La Dolce Vita,La dolce vita,0,1960,,174,"Comedy,Drama",Comedy,Drama,,https://www.imdb.com/title/tt0053779,8.0,66171
